ZINC_ID,Data
ZINC000100076763,"zinc_id,smiles
ZINC000100076763,CC(C)=CCC[C@]1(C)[C@@H](CC=C(C)C)C[C@@]2(CC=C(C)C)C(=O)[C@]1(C(=O)C(C)C)C(=O)C(CC=C(C)C)=C2O"
ZINC000002242633,"zinc_id,smiles
ZINC000002242633,CC1=C[C@H]2[C@H](CC1)C2(C)C"
ZINC000033833334,"zinc_id,smiles
ZINC000033833334,COc1ccc([C@H]2OC[C@H]3[C@@H](c4ccc5c(c4)OCO5)OC[C@@H]23)cc1OC"
ZINC000005963383,"zinc_id,smiles
ZINC000005963383,COc1c(C(C)C)cc2c(c1OC)[C@@]13CCCC(C)(C)[C@@H]1C[C@@H]2OC3=O"
ZINC000008214560,"zinc_id,smiles
ZINC000008214560,CCCCCCCC/C=C\CCCCCCCC(=O)OCC"
ZINC000002040470,"zinc_id,smiles
ZINC000002040470,Cc1ccc2c(C)ccc(C(C)C)c2c1"
ZINC000005781270,"zinc_id,smiles
ZINC000005781270,Cc1ccc(C)c2occc12"
ZINC000008214547,"zinc_id,smiles
ZINC000008214547,C[C@H]1[C@H]2[C@H](C[C@H]3[C@@H]4CC=C5C[C@@H](O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)CC[C@]5(C)[C@H]4CC[C@@]32C)O[C@]12CC[C@@H](C)CO2"
ZINC000013383634,"zinc_id,smiles
ZINC000013383634,CC(C)c1cc2c(c(O)c1O)[C@@]13CCCC(C)(C)[C@@H]1[C@H](O)[C@@H]2OC3=O"
ZINC000013381725,"zinc_id,smiles
ZINC000013381725,CC1=C[C@@H]2[C@@H](C(C)C)CC[C@H](C)[C@@]2(O)CC1"
